Transaction;Item;date_time;period_day;weekday_weekend
26;Rokok Marlboro;30/10/2016 10.56;morning;weekend
27;Gula;30/10/2016 11.02;morning;weekend
28;Kopi kapal api;30/10/2016 11.03;morning;weekend
28;Sari Roti Gandum;30/10/2016 11.03;morning;weekend
29;Sari Roti Gandum;30/10/2016 11.05;morning;weekend
29;Popok Mamypoko;30/10/2016 11.05;morning;weekend
30;Sari Roti Gandum;30/10/2016 11.07;morning;weekend
31;Basket;30/10/2016 11.12;morning;weekend
32;Gula;30/10/2016 11.16;morning;weekend
32;Minyak makan bimoli;30/10/2016 11.16;morning;weekend
33;Kopi kapal api;30/10/2016 11.22;morning;weekend
34;Kopi kapal api;30/10/2016 11.25;morning;weekend
34;Minyak makan bimoli;30/10/2016 11.25;morning;weekend
35;Minyak makan bimoli;30/10/2016 11.27;morning;weekend
35;Gula;30/10/2016 11.27;morning;weekend
36;Teh prendjak;30/10/2016 11.33;morning;weekend
36;Sari Roti Gandum;30/10/2016 11.33;morning;weekend
37;Kopi kapal api;30/10/2016 11.37;morning;weekend
37;Sari Roti Gandum;30/10/2016 11.37;morning;weekend
38;Sari Roti Gandum;30/10/2016 11.42;morning;weekend
38;Teh prendjak;30/10/2016 11.42;morning;weekend
39;Gula;30/10/2016 11.44;morning;weekend
40;Pulpen kenko;30/10/2016 11.55;morning;weekend
40;Minyak kayu putih;30/10/2016 11.55;morning;weekend
40;Kopi kapal api;30/10/2016 11.55;morning;weekend
40;Minyak makan bimoli;30/10/2016 11.55;morning;weekend
41;Gula;30/10/2016 11.57;morning;weekend
42;Sari Roti Gandum;30/10/2016 11.57;morning;weekend
42;Teh prendjak;30/10/2016 11.57;morning;weekend
43;Gula;30/10/2016 12.00;afternoon;weekend
43;Rokok Marlboro;30/10/2016 12.00;afternoon;weekend
44;Kopi kapal api;30/10/2016 12.05;afternoon;weekend
44;Mentega blueband;30/10/2016 12.05;afternoon;weekend
45;Kopi kapal api;30/10/2016 12.08;afternoon;weekend
45;Milo;30/10/2016 12.08;afternoon;weekend
45;Mentega blueband;30/10/2016 12.08;afternoon;weekend
46;Kopi kapal api;30/10/2016 12.09;afternoon;weekend
47;Rinso;30/10/2016 12.15;afternoon;weekend
47;Pulpen kenko;30/10/2016 12.15;afternoon;weekend
47;Sari Roti Gandum;30/10/2016 12.15;afternoon;weekend
47;Minyak makan bimoli;30/10/2016 12.15;afternoon;weekend
47;Popok Mamypoko;30/10/2016 12.15;afternoon;weekend
48;Kopi kapal api;30/10/2016 12.17;afternoon;weekend
49;Kopi kapal api;30/10/2016 12.23;afternoon;weekend
49;Kopi kapal api;30/10/2016 12.23;afternoon;weekend
49;Mentega blueband;30/10/2016 12.23;afternoon;weekend
50;Sari Roti Gandum;30/10/2016 12.25;afternoon;weekend
50;Victorian Sponge;30/10/2016 12.25;afternoon;weekend
51;Sari Roti Gandum;30/10/2016 12.26;afternoon;weekend
52;Gula;30/10/2016 12.28;afternoon;weekend
54;Sari Roti Gandum;30/10/2016 12.33;afternoon;weekend
55;Sajiku nasi goreng;30/10/2016 12.38;afternoon;weekend
55;Kopi kapal api;30/10/2016 12.38;afternoon;weekend
55;Teh prendjak;30/10/2016 12.38;afternoon;weekend
55;Sajiku nasi goreng;30/10/2016 12.38;afternoon;weekend
56;Kopi kapal api;30/10/2016 12.39;afternoon;weekend
56;Sajiku nasi goreng;30/10/2016 12.39;afternoon;weekend
57;Gula;30/10/2016 12.45;afternoon;weekend
58;Victorian Sponge;30/10/2016 12.59;afternoon;weekend
58;Milo;30/10/2016 12.59;afternoon;weekend
58;Teh prendjak;30/10/2016 12.59;afternoon;weekend
58;Mamelemon;30/10/2016 12.59;afternoon;weekend
59;Teh prendjak;30/10/2016 13.02;afternoon;weekend
60;Garam dolphine;30/10/2016 13.14;afternoon;weekend
60;Kopi kapal api;30/10/2016 13.14;afternoon;weekend
60;Pulpen kenko;30/10/2016 13.14;afternoon;weekend
60;Kopi kapal api;30/10/2016 13.14;afternoon;weekend
61;Kopi kapal api;30/10/2016 13.15;afternoon;weekend
62;Sajiku nasi goreng;30/10/2016 13.24;afternoon;weekend
62;Sajiku nasi goreng;30/10/2016 13.24;afternoon;weekend
62;Sajiku nasi goreng;30/10/2016 13.24;afternoon;weekend
62;Kopi kapal api;30/10/2016 13.24;afternoon;weekend
62;Baygon;30/10/2016 13.24;afternoon;weekend
62;Kopi kapal api;30/10/2016 13.24;afternoon;weekend
63;Kopi kapal api;30/10/2016 13.33;afternoon;weekend
64;Beras;30/10/2016 13.34;afternoon;weekend
65;Minyak kayu putih;30/10/2016 13.37;afternoon;weekend
65;Sajiku nasi goreng;30/10/2016 13.37;afternoon;weekend
65;Teh prendjak;30/10/2016 13.37;afternoon;weekend
65;Kopi kapal api;30/10/2016 13.37;afternoon;weekend
66;Sajiku nasi goreng;30/10/2016 13.40;afternoon;weekend
66;Sajiku nasi goreng;30/10/2016 13.40;afternoon;weekend
66;Mineral water;30/10/2016 13.40;afternoon;weekend
67;Sajiku nasi goreng;30/10/2016 13.46;afternoon;weekend
67;Mineral water;30/10/2016 13.46;afternoon;weekend
67;Minyak makan bimoli;30/10/2016 13.46;afternoon;weekend
68;Sajiku nasi goreng;30/10/2016 13.49;afternoon;weekend
68;Kopi kapal api;30/10/2016 13.49;afternoon;weekend
68;Teh prendjak;30/10/2016 13.49;afternoon;weekend
68;Gula;30/10/2016 13.49;afternoon;weekend
68;Chicken sand;30/10/2016 13.49;afternoon;weekend
69;Sari Roti Gandum;30/10/2016 13.51;afternoon;weekend
69;Teh prendjak;30/10/2016 13.51;afternoon;weekend
69;Victorian Sponge;30/10/2016 13.51;afternoon;weekend
70;Rokok Marlboro;30/10/2016 13.54;afternoon;weekend
71;Minyak makan bimoli;30/10/2016 13.56;afternoon;weekend
72;Kopi kapal api;30/10/2016 14.21;afternoon;weekend
72;Sari Roti Gandum;30/10/2016 14.21;afternoon;weekend
73;Sari Roti Gandum;30/10/2016 14.22;afternoon;weekend
74;Kopi kapal api;30/10/2016 14.24;afternoon;weekend
74;Sari Roti Gandum;30/10/2016 14.24;afternoon;weekend
75;Popok Mamypoko;30/10/2016 14.32;afternoon;weekend
75;Sajiku nasi goreng;30/10/2016 14.32;afternoon;weekend
76;Kopi kapal api;30/10/2016 14.32;afternoon;weekend
77;Gula;30/10/2016 14.35;afternoon;weekend
78;Rokok Marlboro;30/10/2016 14.42;afternoon;weekend
79;Rokok Marlboro;30/10/2016 14.45;afternoon;weekend
79;Teh prendjak;30/10/2016 14.45;afternoon;weekend
79;Kopi kapal api;30/10/2016 14.45;afternoon;weekend
79;Minyak makan bimoli;30/10/2016 14.45;afternoon;weekend
80;Sajiku nasi goreng;30/10/2016 14.48;afternoon;weekend
80;Sari Roti Gandum;30/10/2016 14.48;afternoon;weekend
80;Kopi kapal api;30/10/2016 14.48;afternoon;weekend
81;Kopi kapal api;31/10/2016 08.28;morning;weekday
81;Beras;31/10/2016 08.28;morning;weekday
82;Minyak kayu putih;31/10/2016 08.47;morning;weekday
82;Sari Roti Gandum;31/10/2016 08.47;morning;weekday
83;Kopi kapal api;31/10/2016 08.57;morning;weekday
83;Sari Roti Gandum;31/10/2016 08.57;morning;weekday
84;Sari Roti Gandum;31/10/2016 09.04;morning;weekday
85;Kopi kapal api;31/10/2016 09.10;morning;weekday
85;Kopi kapal api;31/10/2016 09.10;morning;weekday
85;Pasta gigi;31/10/2016 09.10;morning;weekday
85;Mentega blueband;31/10/2016 09.10;morning;weekday
86;Pulpen kenko;31/10/2016 09.11;morning;weekday
87;Sari Roti Gandum;31/10/2016 09.12;morning;weekday
88;Kopi kapal api;31/10/2016 09.16;morning;weekday
88;Kopi kapal api;31/10/2016 09.16;morning;weekday
88;Popok Mamypoko;31/10/2016 09.16;morning;weekday
89;Sari Roti Gandum;31/10/2016 09.19;morning;weekday
90;Sari Roti Gandum;31/10/2016 09.20;morning;weekday
90;Kopi kapal api;31/10/2016 09.20;morning;weekday
91;Teh prendjak;31/10/2016 09.22;morning;weekday
92;Kopi kapal api;31/10/2016 09.27;morning;weekday
93;Sari Roti Gandum;31/10/2016 09.29;morning;weekday
93;Coca cola;31/10/2016 09.29;morning;weekday
94;Kopi kapal api;31/10/2016 09.39;morning;weekday
94;Kopi kapal api;31/10/2016 09.39;morning;weekday
95;Teh prendjak;31/10/2016 09.43;morning;weekday
95;Pasta gigi;31/10/2016 09.43;morning;weekday
95;Garnier Man;31/10/2016 09.43;morning;weekday
96;Pasta gigi;31/10/2016 09.46;morning;weekday
96;Pasta gigi;31/10/2016 09.46;morning;weekday
96;Kopi kapal api;31/10/2016 09.46;morning;weekday
96;Pulpen kenko;31/10/2016 09.46;morning;weekday
97;Kopi kapal api;31/10/2016 09.51;morning;weekday
97;Pasta gigi;31/10/2016 09.51;morning;weekday
97;Pulpen kenko;31/10/2016 09.51;morning;weekday
98;Garnier Man;31/10/2016 09.52;morning;weekday
99;Pasta gigi;31/10/2016 09.56;morning;weekday
99;Pasta gigi;31/10/2016 09.56;morning;weekday
99;Kopi kapal api;31/10/2016 09.56;morning;weekday
99;Sari Roti Gandum;31/10/2016 09.56;morning;weekday
100;Sari Roti Gandum;31/10/2016 09.58;morning;weekday
101;Kopi kapal api;31/10/2016 10.04;morning;weekday
101;Pasta gigi;31/10/2016 10.04;morning;weekday
102;Garnier Man;31/10/2016 10.04;morning;weekday
103;Sari Roti Gandum;31/10/2016 10.07;morning;weekday
104;Kopi kapal api;31/10/2016 10.12;morning;weekday
104;Kopi kapal api;31/10/2016 10.12;morning;weekday
104;Mentega blueband;31/10/2016 10.12;morning;weekday
104;Minyak makan bimoli;31/10/2016 10.12;morning;weekday
104;Kopi kapal api;31/10/2016 10.12;morning;weekday
105;Kopi kapal api;31/10/2016 10.21;morning;weekday
105;Teh prendjak;31/10/2016 10.21;morning;weekday
105;Beras;31/10/2016 10.21;morning;weekday
106;Kopi kapal api;31/10/2016 10.24;morning;weekday
106;Kopi kapal api;31/10/2016 10.24;morning;weekday
106;Pasta gigi;31/10/2016 10.24;morning;weekday
106;Pasta gigi;31/10/2016 10.24;morning;weekday
107;Kopi kapal api;31/10/2016 10.27;morning;weekday
107;Teh prendjak;31/10/2016 10.27;morning;weekday
108;Garnier Man;31/10/2016 10.31;morning;weekday
108;Minyak makan bimoli;31/10/2016 10.31;morning;weekday
109;Sari Roti Gandum;31/10/2016 10.35;morning;weekday
109;Minyak makan bimoli;31/10/2016 10.35;morning;weekday
109;Pasta gigi;31/10/2016 10.35;morning;weekday
110;Pasta gigi;31/10/2016 10.36;morning;weekday
111;Kopi kapal api;31/10/2016 10.38;morning;weekday
112;Kopi kapal api;31/10/2016 10.59;morning;weekday
113;Kopi kapal api;31/10/2016 11.02;morning;weekday
113;Beras;31/10/2016 11.02;morning;weekday
114;Garnier Man;31/10/2016 11.05;morning;weekday
115;Sari Roti Gandum;31/10/2016 11.08;morning;weekday
116;Kopi kapal api;31/10/2016 11.11;morning;weekday
117;Garam dolphine;31/10/2016 11.13;morning;weekday
117;Beras;31/10/2016 11.13;morning;weekday
117;Kopi kapal api;31/10/2016 11.13;morning;weekday
117;Sajiku nasi goreng;31/10/2016 11.13;morning;weekday
118;Garam dolphine;31/10/2016 11.18;morning;weekday
118;Garam dolphine;31/10/2016 11.18;morning;weekday
118;Teh prendjak;31/10/2016 11.18;morning;weekday
118;Pasta gigi;31/10/2016 11.18;morning;weekday
119;Kopi kapal api;31/10/2016 11.25;morning;weekday
119;Kopi kapal api;31/10/2016 11.25;morning;weekday
119;Minyak makan bimoli;31/10/2016 11.25;morning;weekday
120;Garnier Man;31/10/2016 11.29;morning;weekday
121;Kopi kapal api;31/10/2016 11.30;morning;weekday
121;Sari Roti Gandum;31/10/2016 11.30;morning;weekday
122;Garam dolphine;31/10/2016 11.37;morning;weekday
123;Popok Mamypoko;31/10/2016 11.42;morning;weekday
123;Kopi kapal api;31/10/2016 11.42;morning;weekday
123;Kopi kapal api;31/10/2016 11.42;morning;weekday
123;Pulpen kenko;31/10/2016 11.42;morning;weekday
124;Kopi kapal api;31/10/2016 11.43;morning;weekday
124;Mamelemon;31/10/2016 11.43;morning;weekday
125;Teh prendjak;31/10/2016 11.47;morning;weekday
126;Kopi kapal api;31/10/2016 11.52;morning;weekday
126;Popok Mamypoko;31/10/2016 11.52;morning;weekday
127;Garnier Man;31/10/2016 11.53;morning;weekday
128;Minyak kayu putih;31/10/2016 11.55;morning;weekday
128;Kopi kapal api;31/10/2016 11.55;morning;weekday
128;Teh prendjak;31/10/2016 11.55;morning;weekday
129;Kopi kapal api;31/10/2016 11.59;morning;weekday
129;Kopi kapal api;31/10/2016 11.59;morning;weekday
129;Beras;31/10/2016 11.59;morning;weekday
130;Kopi kapal api;31/10/2016 12.03;afternoon;weekday
130;Kopi kapal api;31/10/2016 12.03;afternoon;weekday
130;Minyak makan bimoli;31/10/2016 12.03;afternoon;weekday
131;Sari Roti Gandum;31/10/2016 12.08;afternoon;weekday
131;Kopi kapal api;31/10/2016 12.08;afternoon;weekday
132;Teh prendjak;31/10/2016 12.14;afternoon;weekday
132;Pulpen kenko;31/10/2016 12.14;afternoon;weekday
132;Sajiku nasi goreng;31/10/2016 12.14;afternoon;weekday
132;Garam dolphine;31/10/2016 12.14;afternoon;weekday
133;Sajiku nasi goreng;31/10/2016 12.16;afternoon;weekday
133;Mamelemon;31/10/2016 12.16;afternoon;weekday
134;Sajiku nasi goreng;31/10/2016 12.19;afternoon;weekday
134;Teh prendjak;31/10/2016 12.19;afternoon;weekday
134;Garnier Man;31/10/2016 12.19;afternoon;weekday
135;Sari Roti Gandum;31/10/2016 12.20;afternoon;weekday
136;Teh prendjak;31/10/2016 12.27;afternoon;weekday
136;Mamelemon;31/10/2016 12.27;afternoon;weekday
137;Garnier Man;31/10/2016 12.37;afternoon;weekday
138;Mamelemon;31/10/2016 12.43;afternoon;weekday
138;Sajiku nasi goreng;31/10/2016 12.43;afternoon;weekday
138;Kopi kapal api;31/10/2016 12.43;afternoon;weekday
139;Sari Roti Gandum;31/10/2016 12.50;afternoon;weekday
139;Minyak makan bimoli;31/10/2016 12.50;afternoon;weekday
139;Sajiku nasi goreng;31/10/2016 12.50;afternoon;weekday
140;Kopi kapal api;31/10/2016 12.53;afternoon;weekday
140;Kopi kapal api;31/10/2016 12.53;afternoon;weekday
140;Garam dolphine;31/10/2016 12.53;afternoon;weekday
141;Sari Roti Gandum;31/10/2016 12.54;afternoon;weekday
142;Teh prendjak;31/10/2016 12.56;afternoon;weekday
142;Minyak makan bimoli;31/10/2016 12.56;afternoon;weekday
143;Teh prendjak;31/10/2016 12.59;afternoon;weekday
144;Mamelemon;31/10/2016 13.02;afternoon;weekday
144;Sajiku nasi goreng;31/10/2016 13.02;afternoon;weekday
145;Kopi kapal api;31/10/2016 13.05;afternoon;weekday
145;Teh prendjak;31/10/2016 13.05;afternoon;weekday
145;Sajiku nasi goreng;31/10/2016 13.05;afternoon;weekday
146;Fiesta Chicken Nugget;31/10/2016 13.08;afternoon;weekday
147;Minyak kayu putih;31/10/2016 13.09;afternoon;weekday
147;Kopi kapal api;31/10/2016 13.09;afternoon;weekday
148;Rokok Marlboro;31/10/2016 13.21;afternoon;weekday
148;Kopi kapal api;31/10/2016 13.21;afternoon;weekday
148;Kopi kapal api;31/10/2016 13.21;afternoon;weekday
149;Kopi kapal api;31/10/2016 13.26;afternoon;weekday
150;Sari Roti Gandum;31/10/2016 13.31;afternoon;weekday
151;Coca cola;31/10/2016 13.50;afternoon;weekday
151;Mamelemon;31/10/2016 13.50;afternoon;weekday
152;Minyak makan bimoli;31/10/2016 13.51;afternoon;weekday
153;Teh prendjak;31/10/2016 13.55;afternoon;weekday
153;Kopi kapal api;31/10/2016 13.55;afternoon;weekday
153;Garam dolphine;31/10/2016 13.55;afternoon;weekday
153;Minyak makan bimoli;31/10/2016 13.55;afternoon;weekday
154;Sajiku nasi goreng;31/10/2016 14.00;afternoon;weekday
154;Sajiku nasi goreng;31/10/2016 14.00;afternoon;weekday
154;Kopi kapal api;31/10/2016 14.00;afternoon;weekday
154;Coca cola;31/10/2016 14.00;afternoon;weekday
155;Teh prendjak;31/10/2016 14.01;afternoon;weekday
155;Minyak makan bimoli;31/10/2016 14.01;afternoon;weekday
155;Fiesta Chicken Nugget;31/10/2016 14.01;afternoon;weekday
156;Kopi kapal api;31/10/2016 14.04;afternoon;weekday
156;Minyak makan bimoli;31/10/2016 14.04;afternoon;weekday
157;Kopi kapal api;31/10/2016 14.05;afternoon;weekday
157;Sari Roti Gandum;31/10/2016 14.05;afternoon;weekday
158;Kopi kapal api;31/10/2016 14.20;afternoon;weekday
158;Minyak makan bimoli;31/10/2016 14.20;afternoon;weekday
159;Sari Roti Gandum;31/10/2016 14.22;afternoon;weekday
159;Milo;31/10/2016 14.22;afternoon;weekday
159;Garam dolphine;31/10/2016 14.22;afternoon;weekday
160;Mineral water;31/10/2016 14.35;afternoon;weekday
160;Minyak makan bimoli;31/10/2016 14.35;afternoon;weekday
161;Teh prendjak;31/10/2016 14.42;afternoon;weekday
162;Minyak makan bimoli;31/10/2016 14.44;afternoon;weekday
163;Kopi kapal api;31/10/2016 14.47;afternoon;weekday
163;Pulpen kenko;31/10/2016 14.47;afternoon;weekday
164;Kopi kapal api;31/10/2016 14.47;afternoon;weekday
164;Minyak makan bimoli;31/10/2016 14.47;afternoon;weekday
165;Teh prendjak;31/10/2016 14.48;afternoon;weekday
166;Kopi kapal api;31/10/2016 14.49;afternoon;weekday
166;Minyak makan bimoli;31/10/2016 14.49;afternoon;weekday
167;Fiesta Chicken Nugget;31/10/2016 14.50;afternoon;weekday
167;Sajiku nasi goreng;31/10/2016 14.50;afternoon;weekday
167;Sari Roti Gandum;31/10/2016 14.50;afternoon;weekday
167;Mineral water;31/10/2016 14.50;afternoon;weekday
168;Teh prendjak;31/10/2016 14.56;afternoon;weekday
168;Kopi kapal api;31/10/2016 14.56;afternoon;weekday
169;Mineral water;31/10/2016 15.05;afternoon;weekday
170;Kopi kapal api;31/10/2016 15.16;afternoon;weekday
171;Mamelemon;31/10/2016 15.20;afternoon;weekday
171;Teh prendjak;31/10/2016 15.20;afternoon;weekday
172;Sari Roti Gandum;31/10/2016 17.06;evening;weekday
172;Kopi kapal api;31/10/2016 17.06;evening;weekday
173;Sari Roti Gandum;31/10/2016 17.08;evening;weekday
173;Minyak makan bimoli;31/10/2016 17.08;evening;weekday
174;Kopi kapal api;31/10/2016 17.40;evening;weekday
175;Sari Roti Gandum;31/10/2016 17.49;evening;weekday
176;Garam dolphine;31/10/2016 18.22;evening;weekday
176;Kopi kapal api;31/10/2016 18.22;evening;weekday
178;Kopi kapal api;01/11/2016 07.51;morning;weekday
178;Pasta gigi;01/11/2016 07.51;morning;weekday
179;Kopi kapal api;01/11/2016 08.20;morning;weekday
179;Pasta gigi;01/11/2016 08.20;morning;weekday
180;Popok Mamypoko;01/11/2016 08.22;morning;weekday
180;Teh prendjak;01/11/2016 08.22;morning;weekday
181;Teh prendjak;01/11/2016 08.45;morning;weekday
181;Teh prendjak;01/11/2016 08.45;morning;weekday
182;Pasta gigi;01/11/2016 09.07;morning;weekday
182;Pasta gigi;01/11/2016 09.07;morning;weekday
182;Rinso;01/11/2016 09.07;morning;weekday
183;Pasta gigi;01/11/2016 09.09;morning;weekday
184;Garnier Man;01/11/2016 09.26;morning;weekday
184;Teh prendjak;01/11/2016 09.26;morning;weekday
185;Teh prendjak;01/11/2016 09.29;morning;weekday
185;Victorian Sponge;01/11/2016 09.29;morning;weekday
186;Teh prendjak;01/11/2016 09.43;morning;weekday
186;Pasta gigi;01/11/2016 09.43;morning;weekday
187;Sari Roti Gandum;01/11/2016 10.02;morning;weekday
188;Kopi kapal api;01/11/2016 10.04;morning;weekday
189;Sari Roti Gandum;01/11/2016 10.29;morning;weekday
189;Kopi kapal api;01/11/2016 10.29;morning;weekday
190;Kopi kapal api;01/11/2016 10.34;morning;weekday
190;Pasta gigi;01/11/2016 10.34;morning;weekday
190;Pasta gigi;01/11/2016 10.34;morning;weekday
191;Mamelemon;01/11/2016 10.50;morning;weekday
191;Teh prendjak;01/11/2016 10.50;morning;weekday
192;Sari Roti Gandum;01/11/2016 10.56;morning;weekday
193;Kopi kapal api;01/11/2016 11.00;morning;weekday
194;Sari Roti Gandum;01/11/2016 11.04;morning;weekday
194;Sari Roti Gandum;01/11/2016 11.04;morning;weekday
195;Sari Roti Gandum;01/11/2016 11.06;morning;weekday
195;Gula;01/11/2016 11.06;morning;weekday
196;Sari Roti Gandum;01/11/2016 11.08;morning;weekday
196;Beras;01/11/2016 11.08;morning;weekday
196;Garam dolphine;01/11/2016 11.08;morning;weekday
197;Kopi kapal api;01/11/2016 11.10;morning;weekday
197;Kopi kapal api;01/11/2016 11.10;morning;weekday
197;Teh prendjak;01/11/2016 11.10;morning;weekday
198;Kopi kapal api;01/11/2016 11.11;morning;weekday
198;Garam dolphine;01/11/2016 11.11;morning;weekday
199;Kopi kapal api;01/11/2016 11.13;morning;weekday
200;Sari Roti Gandum;01/11/2016 11.16;morning;weekday
201;Kopi kapal api;01/11/2016 11.22;morning;weekday
201;Pasta gigi;01/11/2016 11.22;morning;weekday
202;Kopi kapal api;01/11/2016 11.23;morning;weekday
202;Kopi kapal api;01/11/2016 11.23;morning;weekday
203;Kopi kapal api;01/11/2016 11.25;morning;weekday
204;Gula;01/11/2016 11.30;morning;weekday
204;Sari Roti Gandum;01/11/2016 11.30;morning;weekday
205;Kopi kapal api;01/11/2016 11.49;morning;weekday
205;Kopi kapal api;01/11/2016 11.49;morning;weekday
205;Pasta gigi;01/11/2016 11.49;morning;weekday
206;Gula;01/11/2016 11.54;morning;weekday
206;Kopi kapal api;01/11/2016 11.54;morning;weekday
206;Pasta gigi;01/11/2016 11.54;morning;weekday
207;Sajiku nasi goreng;01/11/2016 12.03;afternoon;weekday
207;Kopi kapal api;01/11/2016 12.03;afternoon;weekday
207;Minyak makan bimoli;01/11/2016 12.03;afternoon;weekday
208;Sari Roti Gandum;01/11/2016 12.10;afternoon;weekday
209;Kopi kapal api;01/11/2016 12.10;afternoon;weekday
210;Gula;01/11/2016 12.12;afternoon;weekday
211;Mamelemon;01/11/2016 12.15;afternoon;weekday
211;Kopi kapal api;01/11/2016 12.15;afternoon;weekday
212;Kopi kapal api;01/11/2016 12.20;afternoon;weekday
212;Garam dolphine;01/11/2016 12.20;afternoon;weekday
212;Minyak kayu putih;01/11/2016 12.20;afternoon;weekday
213;Sari Roti Gandum;01/11/2016 12.22;afternoon;weekday
214;Sari Roti Gandum;01/11/2016 12.26;afternoon;weekday
214;Teh prendjak;01/11/2016 12.26;afternoon;weekday
214;Teh prendjak;01/11/2016 12.26;afternoon;weekday
215;Pasta gigi;01/11/2016 12.30;afternoon;weekday
215;Kopi kapal api;01/11/2016 12.30;afternoon;weekday
216;Minyak kayu putih;01/11/2016 12.31;afternoon;weekday
216;Kopi kapal api;01/11/2016 12.31;afternoon;weekday
217;Sari Roti Gandum;01/11/2016 12.33;afternoon;weekday
217;Garam dolphine;01/11/2016 12.33;afternoon;weekday
218;Fiesta Chicken Nugget;01/11/2016 12.37;afternoon;weekday
219;Minyak kayu putih;01/11/2016 12.41;afternoon;weekday
220;Sari Roti Gandum;01/11/2016 12.49;afternoon;weekday
220;Pasta gigi;01/11/2016 12.49;afternoon;weekday
221;Sari Roti Gandum;01/11/2016 12.53;afternoon;weekday
221;Gula;01/11/2016 12.53;afternoon;weekday
222;Gula;01/11/2016 13.08;afternoon;weekday
223;Panadol;01/11/2016 13.11;afternoon;weekday
223;Kopi kapal api;01/11/2016 13.11;afternoon;weekday
224;Kopi kapal api;01/11/2016 13.15;afternoon;weekday
225;Kopi kapal api;01/11/2016 13.19;afternoon;weekday
225;Coca cola;01/11/2016 13.19;afternoon;weekday
225;Mamelemon;01/11/2016 13.19;afternoon;weekday
226;Beras;01/11/2016 13.21;afternoon;weekday
227;Teh prendjak;01/11/2016 13.31;afternoon;weekday
227;Fiesta Chicken Nugget;01/11/2016 13.31;afternoon;weekday
227;Mamelemon;01/11/2016 13.31;afternoon;weekday
228;Kopi kapal api;01/11/2016 13.33;afternoon;weekday
229;Sajiku nasi goreng;01/11/2016 13.37;afternoon;weekday
229;Sari Roti Gandum;01/11/2016 13.37;afternoon;weekday
230;Panadol;01/11/2016 13.41;afternoon;weekday
231;Beras;01/11/2016 13.45;afternoon;weekday
